rank,city,state_abbr,state_full,slug,population,medicaid_doula_coverage,build_status,seo_score,tier,lat,lng,upgrade_status
1012,Stockbridge,GA,Georgia,stockbridge-ga,28677,NO,not-built,3.0,small,33.5265,-84.2293,
1013,Central,LA,Louisiana,central-la,28529,NO,not-built,3.0,small,30.5593,-91.0369,
1014,Jacksonville,AR,Arkansas,jacksonville-ar,28518,NO,not-built,3.0,small,34.8805,-92.1303,
1015,East Chicago,IN,Indiana,east-chicago-in,28418,NO,not-built,3.0,small,41.6487,-87.4531,
1016,Bella Vista,AR,Arkansas,bella-vista-ar,28406,NO,not-built,3.0,small,36.4667,-94.2708,
1017,Chamblee,GA,Georgia,chamblee-ga,28306,NO,not-built,3.0,small,33.8842,-84.3008,
1018,Hobart,IN,Indiana,hobart-in,28248,NO,not-built,3.0,small,41.5139,-87.2728,
1019,Garfield Heights,OH,Ohio,garfield-heights-oh,27905,NO,not-built,3.0,small,41.4199,-81.6038,
1020,Cibolo,TX,Texas,cibolo-tx,27855,NO,not-built,3.0,small,29.5689,-98.2149,
1021,Shaker Heights,OH,Ohio,shaker-heights-oh,27448,NO,not-built,3.0,small,41.4744,-81.5496,
1022,Jeffersontown,KY,Kentucky,jeffersontown-ky,27352,NO,not-built,3.0,small,38.2054,-85.5702,
1023,Rockledge,FL,Florida,rockledge-fl,27068,NO,not-built,3.0,small,28.3199,-80.7318,
1024,Casselberry,FL,Florida,casselberry-fl,27053,NO,not-built,3.0,small,28.6621,-81.3217,
1025,Horn Lake,MS,Mississippi,horn-lake-ms,27042,NO,not-built,3.0,small,34.9512,-90.0501,
1026,Independence,KY,Kentucky,independence-ky,27024,NO,not-built,3.0,small,38.9512,-84.5492,
1027,Zionsville,IN,Indiana,zionsville-in,26784,NO,not-built,3.0,small,39.999,-86.2921,
1028,Temple Terrace,FL,Florida,temple-terrace-fl,26515,NO,not-built,3.0,small,28.044,-82.378,
1029,Bessemer,AL,Alabama,bessemer-al,26511,NO,not-built,3.0,small,33.3709,-86.9713,
1030,Pearl,MS,Mississippi,pearl-ms,26485,NO,not-built,3.0,small,32.273,-90.0918,
1031,Canton,GA,Georgia,canton-ga,26340,NO,not-built,3.0,small,34.2468,-84.4902,
1032,Yukon,OK,Oklahoma,yukon-ok,26340,NO,not-built,3.0,small,35.5203,-97.7636,
1033,Medina,OH,Ohio,medina-oh,26261,NO,not-built,3.0,small,41.1358,-81.8694,
1034,Xenia,OH,Ohio,xenia-oh,26238,NO,not-built,3.0,small,39.6827,-83.9414,
1035,Alvin,TX,Texas,alvin-tx,26164,NO,not-built,3.0,small,29.382,-95.2924,
1036,Colleyville,TX,Texas,colleyville-tx,26152,NO,not-built,3.0,small,32.8913,-97.1486,
1037,Barberton,OH,Ohio,barberton-oh,26120,NO,not-built,3.0,small,41.0095,-81.6038,
1038,Madison,MS,Mississippi,madison-ms,26031,NO,not-built,3.0,small,32.4738,-90.13,
1039,Cabot,AR,Arkansas,cabot-ar,25797,NO,not-built,3.0,small,34.9765,-92.0268,
1040,New Smyrna Beach,FL,Florida,new-smyrna-beach-fl,25796,NO,not-built,3.0,small,29.0246,-80.9637,
1041,Troy,OH,Ohio,troy-oh,25770,NO,not-built,3.0,small,40.0431,-84.2193,
1042,Green,OH,Ohio,green-oh,25673,NO,not-built,3.0,small,40.9483,-81.4757,
1043,Homewood,AL,Alabama,homewood-al,25613,NO,not-built,3.0,small,33.4617,-86.8092,
1044,South Portland,ME,Maine,south-portland-me,25577,NO,not-built,3.0,small,43.631,-70.2895,
1045,Brownsburg,IN,Indiana,brownsburg-in,25408,NO,not-built,3.0,small,39.833,-86.3828,
1046,Bixby,OK,Oklahoma,bixby-ok,25333,NO,not-built,3.0,small,35.9454,-95.8773,
1047,West Memphis,AR,Arkansas,west-memphis-ar,25284,NO,not-built,3.0,small,35.1531,-90.1995,
1048,Clinton,MS,Mississippi,clinton-ms,25211,NO,not-built,3.0,small,32.354,-90.3403,
1049,Northport,AL,Alabama,northport-al,25045,NO,not-built,3.0,small,33.2584,-87.5981,
1050,Sachse,TX,Texas,sachse-tx,25039,NO,not-built,3.0,small,32.9727,-96.5792,
1051,Balch Springs,TX,Texas,balch-springs-tx,25017,NO,not-built,3.0,small,32.7194,-96.615,
1052,Riverside,OH,Ohio,riverside-oh,24981,NO,not-built,3.0,small,39.7836,-84.122,
1053,University Park,TX,Texas,university-park-tx,24905,NO,not-built,3.0,small,32.8506,-96.7937,
1054,Tarpon Springs,FL,Florida,tarpon-springs-fl,24867,NO,not-built,3.0,small,28.1492,-82.7622,
1055,Franklin,IN,Indiana,franklin-in,24867,NO,not-built,3.0,small,39.4935,-86.0541,
1056,Eagle,ID,Idaho,eagle-id,24785,NO,not-built,3.0,small,43.7231,-116.3856,
1057,Sebastian,FL,Florida,sebastian-fl,24772,NO,not-built,3.0,small,27.7882,-80.4813,
1058,Watauga,TX,Texas,watauga-tx,24629,NO,not-built,3.0,small,32.8718,-97.2515,
1059,Palmetto Bay,FL,Florida,palmetto-bay-fl,24570,NO,not-built,3.0,small,25.622,-80.3222,
1060,Ridgeland,MS,Mississippi,ridgeland-ms,24483,NO,not-built,3.0,small,32.4225,-90.1456,
1061,Fountain Hills,AZ,Arizona,fountain-hills-az,24482,NO,not-built,3.0,small,33.6072,-111.7398,
1062,San Benito,TX,Texas,san-benito-tx,24476,NO,not-built,3.0,small,26.1298,-97.644,
1063,Trotwood,OH,Ohio,trotwood-oh,24331,NO,not-built,3.0,small,39.7927,-84.3165,
1064,Palm Springs,FL,Florida,palm-springs-fl,24051,NO,not-built,3.0,small,26.6372,-80.0961,
1065,McDonough,GA,Georgia,mcdonough-ga,23964,NO,not-built,3.0,small,33.4399,-84.1507,
1066,Hialeah Gardens,FL,Florida,hialeah-gardens-fl,23837,NO,not-built,3.0,small,25.888,-80.3573,
1067,Hutto,TX,Texas,hutto-tx,23832,NO,not-built,3.0,small,30.5375,-97.5515,
1068,Brandon,MS,Mississippi,brandon-ms,23826,NO,not-built,3.0,small,32.2778,-89.9896,
1069,Centerville,OH,Ohio,centerville-oh,23817,NO,not-built,3.0,small,39.6339,-84.1448,
1070,Pooler,GA,Georgia,pooler-ga,23744,NO,not-built,3.0,small,32.1023,-81.2539,
1071,Midlothian,TX,Texas,midlothian-tx,23689,NO,not-built,3.0,small,32.4716,-96.9879,
1072,Avon Lake,OH,Ohio,avon-lake-oh,23659,NO,not-built,3.0,small,41.4945,-82.016,
1073,Denison,TX,Texas,denison-tx,23654,NO,not-built,3.0,small,33.757,-96.5661,
1074,Derby,KS,Kansas,derby-ks,23633,NO,not-built,3.0,small,37.5567,-97.2553,
1075,Haines City,FL,Florida,haines-city-fl,23454,NO,not-built,3.0,small,28.1098,-81.6158,
1076,Hanahan,SC,South Carolina,hanahan-sc,23439,NO,not-built,3.0,small,32.9303,-80.0031,
1077,Jacksonville Beach,FL,Florida,jacksonville-beach-fl,23387,NO,not-built,3.0,small,30.2782,-81.4045,
1078,Van Buren,AR,Arkansas,van-buren-ar,23367,NO,not-built,3.0,small,35.4479,-94.3525,
1079,Wadsworth,OH,Ohio,wadsworth-oh,23136,NO,not-built,3.0,small,41.0287,-81.7324,
1080,Pelham,AL,Alabama,pelham-al,23050,NO,not-built,3.0,small,33.3117,-86.7569,
1081,Solon,OH,Ohio,solon-oh,23003,NO,not-built,3.0,small,41.3864,-81.4401,
1082,Benbrook,TX,Texas,benbrook-tx,22948,NO,not-built,3.0,small,32.6767,-97.4629,
1083,Auburn,ME,Maine,auburn-me,22948,NO,not-built,3.0,small,44.085,-70.2492,
1084,North Augusta,SC,South Carolina,north-augusta-sc,22932,NO,not-built,3.0,small,33.5211,-81.9545,
1085,Griffin,GA,Georgia,griffin-ga,22928,NO,not-built,3.0,small,33.2418,-84.2747,
1086,Munster,IN,Indiana,munster-in,22825,NO,not-built,3.0,small,41.5468,-87.5037,
1087,Decatur,GA,Georgia,decatur-ga,22813,NO,not-built,3.0,small,33.7711,-84.2968,
1088,Avon,OH,Ohio,avon-oh,22805,NO,not-built,3.0,small,41.4485,-82.0187,
1089,Willoughby,OH,Ohio,willoughby-oh,22769,NO,not-built,3.0,small,41.646,-81.4084,
1090,Conway,SC,South Carolina,conway-sc,22761,NO,not-built,3.0,small,33.8406,-79.0418,
1091,Highland,IN,Indiana,highland-in,22737,NO,not-built,3.0,small,41.5484,-87.4587,
1092,Converse,TX,Texas,converse-tx,22702,NO,not-built,3.0,small,29.513,-98.3079,
1093,Saginaw,TX,Texas,saginaw-tx,22526,NO,not-built,3.0,small,32.8649,-97.3649,
1094,Radcliff,KY,Kentucky,radcliff-ky,22490,NO,not-built,3.0,small,37.8193,-85.9358,
1095,Maple Heights,OH,Ohio,maple-heights-oh,22478,NO,not-built,3.0,small,41.4094,-81.5625,
1096,Venice,FL,Florida,venice-fl,22465,NO,not-built,3.0,small,27.1165,-82.4135,
1097,Acworth,GA,Georgia,acworth-ga,22418,NO,not-built,3.0,small,34.0564,-84.6688,
1098,Farragut,TN,Tennessee,farragut-tn,22282,NO,not-built,3.0,small,35.8731,-84.1821,
1099,Hudson,OH,Ohio,hudson-oh,22251,NO,not-built,3.0,small,41.2399,-81.4408,
1100,Sugar Hill,GA,Georgia,sugar-hill-ga,22197,NO,not-built,3.0,small,34.1082,-84.0558,
1101,Prichard,AL,Alabama,prichard-al,22185,NO,not-built,3.0,small,30.7735,-88.1301,
1102,Sunny Isles Beach,FL,Florida,sunny-isles-beach-fl,22086,NO,not-built,3.0,small,25.9385,-80.1245,
1103,Edgewater,FL,Florida,edgewater-fl,22077,NO,not-built,3.0,small,28.9619,-80.9414,
1104,Fort Walton Beach,FL,Florida,fort-walton-beach-fl,21971,NO,not-built,3.0,small,30.4244,-86.6192,
1105,Del City,OK,Oklahoma,del-city-ok,21950,NO,not-built,3.0,small,35.4483,-97.4408,
1106,Clarksville,IN,Indiana,clarksville-in,21920,NO,not-built,3.0,small,38.3225,-85.7674,
1107,Naples,FL,Florida,naples-fl,21845,NO,not-built,3.0,small,26.1504,-81.7936,
1108,Jenks,OK,Oklahoma,jenks-ok,21812,NO,not-built,3.0,small,35.998,-95.9737,
1109,Prairie Village,KS,Kansas,prairie-village-ks,21805,NO,not-built,3.0,small,38.9873,-94.6362,
1110,Mandan,ND,North Dakota,mandan-nd,21769,NO,not-built,3.0,small,46.8267,-100.8846,
1111,LaPorte,IN,Indiana,laporte-in,21732,NO,not-built,3.0,small,41.6077,-86.7137,
1112,South Euclid,OH,Ohio,south-euclid-oh,21658,NO,not-built,3.0,small,41.5239,-81.5245,
1113,Perrysburg,OH,Ohio,perrysburg-oh,21592,NO,not-built,3.0,small,41.5376,-83.6412,
1114,Trussville,AL,Alabama,trussville-al,21422,NO,not-built,3.0,small,33.6389,-86.5832,
1115,Biddeford,ME,Maine,biddeford-me,21362,NO,not-built,3.0,small,43.4674,-70.4512,
1116,Simpsonville,SC,South Carolina,simpsonville-sc,21314,NO,not-built,3.0,small,34.7295,-82.2569,
1117,East Ridge,TN,Tennessee,east-ridge-tn,21302,NO,not-built,3.0,small,34.9973,-85.2284,
1118,West Melbourne,FL,Florida,west-melbourne-fl,21293,NO,not-built,3.0,small,28.0698,-80.6737,
1119,Oxford,AL,Alabama,oxford-al,21120,NO,not-built,3.0,small,33.5963,-85.8718,
1120,Gardner,KS,Kansas,gardner-ks,21110,NO,not-built,3.0,small,38.8163,-94.9297,
1121,Corinth,TX,Texas,corinth-tx,21078,NO,not-built,3.0,small,33.1434,-97.0681,
1122,Ashland,KY,Kentucky,ashland-ky,21038,NO,not-built,3.0,small,38.4593,-82.6449,
1123,Lexington,SC,South Carolina,lexington-sc,20988,NO,not-built,3.0,small,33.9881,-81.22,
1124,Easley,SC,South Carolina,easley-sc,20953,NO,not-built,3.0,small,34.8191,-82.583,
1125,Sapulpa,OK,Oklahoma,sapulpa-ok,20928,NO,not-built,3.0,small,36.009,-96.0983,
1126,Union City,GA,Georgia,union-city-ga,20919,NO,not-built,3.0,small,33.5939,-84.5629,
1127,Belton,TX,Texas,belton-tx,20873,NO,not-built,3.0,small,31.0564,-97.4789,
1128,Lynn Haven,FL,Florida,lynn-haven-fl,20850,NO,not-built,3.0,small,30.2362,-85.6389,
1129,Mustang,OK,Oklahoma,mustang-ok,20792,NO,not-built,3.0,small,35.3917,-97.7245,
1130,Eustis,FL,Florida,eustis-fl,20768,NO,not-built,3.0,small,28.8568,-81.6783,
1131,Sweetwater,FL,Florida,sweetwater-fl,20701,NO,not-built,3.0,small,25.7785,-80.3762,
1132,Lebanon,OH,Ohio,lebanon-oh,20651,NO,not-built,3.0,small,39.4248,-84.2139,
1133,Mountain Brook,AL,Alabama,mountain-brook-al,20590,NO,not-built,3.0,small,33.4871,-86.7401,
1134,Murphy,TX,Texas,murphy-tx,20482,NO,not-built,3.0,small,33.0186,-96.6105,
1135,DeBary,FL,Florida,debary-fl,20394,NO,not-built,3.0,small,28.8815,-81.324,
1136,Universal City,TX,Texas,universal-city-tx,20359,NO,not-built,3.0,small,29.5521,-98.3074,
1137,Sulphur,LA,Louisiana,sulphur-la,20272,NO,not-built,3.0,small,30.2304,-93.3556,
1138,Rocky River,OH,Ohio,rocky-river-oh,20264,NO,not-built,3.0,small,41.4703,-81.8526,
1139,Parma Heights,OH,Ohio,parma-heights-oh,20123,NO,not-built,3.0,small,41.3865,-81.7637,
1140,Dickinson,TX,Texas,dickinson-tx,20074,NO,not-built,3.0,small,29.454,-95.0587,
1141,Pickerington,OH,Ohio,pickerington-oh,20069,NO,not-built,3.0,small,39.8889,-82.768,
1142,Oregon,OH,Ohio,oregon-oh,20040,NO,not-built,3.0,small,41.6556,-83.4326,
1143,Bryant,AR,Arkansas,bryant-ar,20005,NO,not-built,3.0,small,34.6144,-92.4903,
